,term,definition
1064,служебные слова,"Лексически несамостоятельные слова, служащие для выражения различных семантико-синтаксических отношений между словами, предложениями и частями предложений, а также для выражения разных оттенков субъективной модальности."
1065,собирательности категория,"Понятийная категория, выражающая трактовку некоторого множества как целостной, нечленимой совокупности однородных предметов."
1066,собственное имя," от греч. ὄνομα, ὄνυμα — имя, название) — слово, словосочетание или предложение, которое служит для выделения именуемого им объекта из ряда подобных, индивидуализируя и идентифицируя данный объект. К С. и. относятся: антропонимы (С. и. людей), топонимы (С. и. географических объектов), теонимы (С. и. божеств), зоонимы [С. и. (или клички) животных], астронимы (С. и. небесных тел), космонимы (С. и. зон космического пространства и созвездий), фитонимы (С. и. растений), хрононимы (С. и. отрезков времени, связанных с историческими событиями), идеонимы (С. и. объектов духовной культуры), хрематонимы (С. и. объектов материальной культуры) и др. Один и тот же оним может быть топонимом, антропонимом, зоонимом и др.; например, Раздан — река, имя личное, кличка животного; «Раздан» — кафе, пароход, рассказ. Это С. и.-омонимы."
1067,советское языкознание," создание алфавитов для 50 ранее бесписьменных языков, реформы старых алфавитов, в первую очередь русского, а также ряда тюркских и других языков (переход с арабского алфавита сначала на латинский, а затем на русский), разработка принципов орфографии и пунктуации, создание терминологии, словарей, грамматик, учебных пособий как для младописьменных языков, так и для языков со старой письменной традицией — всё это стимулировало также создание трудов по теории формирования и развития литературных языков, принципам установления литературных норм, лексикографии, теории (В. В. Виноградов, Б. А. Ларин, Д. Н. Ушаков, Ф. П. Филин, В. И. Чернышёв, Л. В. Щерба и другие), а также развитие фонологических теорий прежде всего в трудах Щербы и Н. Ф. Яковлева, в работах Р. И. Аванесова, С. И. Бернштейна, Л. Р. Зиндера, А. А. Реформатского и других. Изучение языков народов СССР, принадлежащих к разным языковым группам (уральские, тюркские, тунгусо-маньчжурские, кавказские, чукотско-камчатские, эскимосско-алеутские и другие языки), обогатило сопоставительно-типологические и ареальные методы исследования. Были созданы труды обобщающего характера («Языки народов СССР», т. 1—5, 1966—1968), сравнительно-исторические работы по славянским, тюркским, германским, иранским и другим языкам, развернулось изучение процессов функционирования языков, и в частности роли русского языка как средства межнационального общения. Возможность осуществления крупных коллективных работ по общему языкознанию и по отдельным частным филологиям была обеспечена не только общностью взглядов на структуру языка и его роль в обществе, но и условиями планирования научных исследований в СССР, предусматривающими развёрнутые целевые программы с их последовательным материальным обеспечением. Удовлетворение социально-культурных запросов советского общества требовало внедрения результатов научных исследований в высшей и средней школе и в соседствующих с лингвистикой отраслях знания. Изданы двуязычные и толковые словари языков народов СССР."
1068,согдийский язык," древний Согд, или Согдиана, историческая область в долине и верховьях реки Зеравшан с центром в Самарканде. Топоним «Согд» упоминается в древнейшем ираноязычном памятнике «Авеста». К 8—9 вв. (время, к которому относятся основные письменные памятники С. я.) в состав Согда, по данным китайских источников, входили также долина Кашкадарьи, Чач (оазис Ташкента) и Семиречье (район Киргизского Алатау), где в этот период С. я. являлся основным языком письменного и устного общения. Позднее он был вытеснен классическим персидским (таджикским) языком и тюркскими языками."
1069,согласные,"Класс звуков речи, противоположных по своим свойствам гласным. Артикуляционные свойства согласных: обязательное наличие преграды в речевом тракте; с акустической точки зрения согласные характеризуются как звуки, при образовании которых важную роль играют шумовые источники; согласные (не только сонанты, но и шумные) могут образовывать вершину слога, но слогообразующая функция для них не характерна и в сочетании с гласным не может реализоваться. Отличия согласных от гласных не являются абсолютными, согласные могут быть выстроены в ряд по степени выраженности в них консонантных признаков: так, согласный [p] занимает в этом ряду первое место, полностью соответствуя этим артикуляционно-акустическим характеристикам, согласные [l] или [j] по всем признакам могут быть отнесены как к классу согласных, так и к классу гласных и отличаются от гласных лишь в условиях контрастирования в синтагматическом ряду."
1070,согласование,"Подчинительная связь (см. Подчинение) компонентов словосочетания, при которой в зависимом слове повторяются граммемы или часть граммем главенствующего слова. При изменении главенствующего слова изменяется и зависимое. В языках, имеющих развитую систему флексий, согласование широко используется для выражения атрибутивных отношений в субстантивных словосочетаниях (рус. «зелёный лес», «зелёная трава», «зелёное дерево»; нем. kalter Wein, kalte Milch, kaltes Wasser)."
1071,согласовательные классы,"См. Род, Именные классы."
1072,сокотрийский язык,Один из семитских языков (южнопериферийная группа). Распространён на острове Сокотра и острове Абд-эль-Кури (НДРЙ {Народная Демократическая Республика Йемен}). Число говорящих около 50 тыс. чел. На острове Сокотра выделяются береговой и горный диалекты с последующим членением на говоры. Особый говор берегового диалекта представлен на острове Абд-эль-Кури. Ряд фонетических изоглосс делит сокотрийский языковой ареал на восточную и западную зоны. Береговой диалект испытал влияние арабского языка и языка махри в лексике и частично в фонетике.
1073,солонский язык,Один из тунгусо-маньчжурских языков. Распространён на территории аймака Хулун-Буйр автономного района Внутренняя Монголия и в некоторых других округах северо-восточных провинций Китая. Число говорящих несколько тысяч человек. Сведений о диалектных разграничениях нет.
1074,сомали,"Один из кушитских языков (восточная группа). Распространён в Сомалийской Демократической Республике, где, наряду с арабским, является официальным языком, на юге Джибути, на востоке Эфиопии и северо-востоке Кении. Общее число говорящих 6 млн. 840 тыс. чел. Основные диалекты: исак, исса, дарод, хавия и дигиль."
1075,сонгай-зарма языки,"Группа языков Африки, генеалогическая принадлежность которых не установлена. Распространены на территории вдоль реки Нигер от города Гундам (Мали) до Нигерии, включая Нигер, северо-восточные области Буркина-Фасо и Бенин в районе Гене. Общее число говорящих на С.-з. я. 2 млн. 290 тыс. чел., в т. ч. в Нигере 1 млн. 400 тыс. чел., Мали 570 тыс. чел., Нигерии 120 тыс. чел., Бенине 75 тыс. чел."
1076,сопоставительный метод," на установлении несоответствий, причём нередко то, что диахронически является соответствием, синхронически предстаёт как несоответствие (например, рус. «белый» — укр. «білий», оба от др.-рус. «бѣлый»). С. м. — достояние синхронического исследования языка; он устанавливает между сравниваемыми языками отношение контраста, которое в зависимости от уровня (см. Уровни языка) проявляется как диафония [расхождения на фонологическом уровне; термин Э. И. Хаугена, восходящий к понятию диафона Д. Джоунза (см. Фонема)], диаморфия (грамматические расхождения), диатаксия (синтаксические расхождения), диасемия (семантические расхождения), диалексия (лексемные расхождения, регистрируемые лишь в тех случаях, когда ожидается лексическое совпадение; ср. рус. «голубой» — польск. błękitny при лексическом совпадении многих других названий цвета)."
1077,сото южный язык,"Один из банту языков (группа сото-тсвана зоны S, по классификации М. Гасри). Распространён в Королевстве Лесото, где он является официальным языком (наряду с английским языком), в Оранжевой провинции и в промышленных районах Витватерсранда ЮАР. Число говорящих 3 млн. 350 тыс. чел."
1078,социолингвистика," научная дисциплина, развивающаяся на стыке языкознания, социологии, социальной психологии и этнографии и изучающая широкий комплекс проблем, связанных с социальной природой языка, его общественными функциями, механизмом воздействия социальных факторов на язык и той ролью, которую играет язык в жизни общества. Некоторые из этих проблем (например, «язык и общество») рассматриваются и в рамках общего языкознания. Междисциплинарный статус социолингвистики находит выражение в используемом ею понятийном аппарате. Так, языковой коллектив, рассматриваемый в качестве исходного понятия социолингвистического анализа, определяется на основе как социальных, так и языковых признаков (наличие социального взаимодействия и единство языковых признаков). Основные операционные единицы социолингвистического исследования — социолингвистические переменные — характеризуются соотнесённостью, с одной стороны, с определённым уровнем языковой структуры (фонологическим, морфологическим, синтаксическим, лексико-семантическим), с другой — с варьированием социальной структуры или социальных ситуаций."
1079,социологическое направление," системе взглядов на язык как социальное явление, возникших в виде реакции на индивидуалистический психологизм младограмматизма, а также в противовес взглядам представителей идеалистической неофилологии (К. Фосслер и другие; см. Эстетический идеализм в языкознании). С. н. оформляется на рубеже 19 и 20 вв., хотя социальная природа языка была отмечена ещё Дж. Локком, Дж. Вико, французскими энциклопедистами, В. фон Гумбольдтом и создателями этнической психологии (В. Вундт, Г. Штейнталь). Общественная сущность языка и необходимость историко-материалистического подхода к языковым явлениям подчёркивались в трудах К. Маркса, Ф. Энгельса, В. И. Ленина (см. Маркс К., Энгельс Ф. о языке, Ленин В. И. о языке)."
1080,сочетаемость,"Свойство языковых единиц сочетаться при образовании единиц более высокого уровня; одно из фундаментальных свойств языковых единиц, отражающее синтагматические отношения между ними (см. Синтагматика). Существуют универсальные и конкретно-языковые законы и тенденции сочетаемости, отступление от последних приводит к нарушению нормы или к изменению свойств языковых единиц. Намеренное нарушение правил сочетаемости может быть средством художественной выразительности. Модифицированные и дифференцирующиеся по форме при сочетаемости языковые единицы образуют варианты (аллофоны, алломорфы и др.)."
1081,сочинение," синтаксическая связь грамматически равноценных единиц языка, из которых ни одна не может быть сведена на положение компонента другой, располагающая своей системой средств выражения — сочинительными союзами (см. Союз). Устанавливается между предложениями как частями сложного предложения, между репликами диалога, между самостоятельными единицами сообщения. Как периферийный вид связи функционирует в простом предложении, где не имеет конститутивного значения, так как не создаёт новых синтаксических позиций, а воспроизводит уже имеющиеся. Специфику сочинения иногда усматривают в его обратимости, или принципиальной возможности перестановки сочиненных предложений относительно друг друга (при сохранении союза на прежнем месте) без изменения смысла высказывания (А. М. Пешковский, О. С. Ахманова); на материале русского языка этот критерий не выдерживает проверки, что отмечалось Н. Н. Дурново, С. О. Карцевским, В. В. Виноградовым и другими. В синтаксисе сложного предложения сочинение обычно противопоставляется подчинению, однако строгой оппозиции между этими связями нет, поскольку функции их не соотносительны: подчинение выявляет разные виды смысловой зависимости следующих друг за другом предложений, тогда как для сочинения данный аспект не актуален и его средствами не эксплицируется. В этом отношении сочинение не выходит за рамки бессоюзия или по меньшей мере «симультанно» ему, т. е. совмещено с ним (Карцевский). Назначение сочинения — характеризовать последовательность предложений не с точки зрения иерархии, а с точки зрения распределения и координированности (преемственности, прерывистости и т. п.) реализующихся в ней смыслов. Основные и универсальные разновидности сочинительной связи: соединительная, противительная, разделительная. Перекрывающиеся сочинением отношения смысловой зависимости при необходимости могут выявляться специальными лексическими средствами или собственно подчинительными союзами (в последнем случае обычно говорят о контаминации сочинения с подчинением); каждый отдельный вид сочинительной связи ставит таким экспликациям свои границы."
1082,союз," связь, союз) — класс служебных слов, оформляющих синтаксические связи предложений и синтаксические связи слов. Связующая функция является для союза основной. Однако, указывая на наличие связи, союз одновременно выполняет и квалифицирующую функцию: обозначает содержательные отношения между связываемыми единицами (ср. «знать и уметь» — «знать, чтобы уметь»). Грамматическое значение отношения сближает союз с предлогами, но служебная функция предлогов осуществляется обычно во взаимодействии с падежной флексией (если она развита в языке), в то время как союз осуществляет аналогичную функцию независимо от грамматических характеристик связываемых словоформ и даже независимо от их принадлежности к определённой части речи, ср. союз «и» в русском языке, соединяющий существительные («война и мир»), наречия («дёшево и сердито»), причастия («униженные и оскорблённые»), глаголы («увидел и испугался»). Союз автономен в составе предложения, этим он отличается от союзного слова, которое совмещает две функции: помимо обозначения зависимости предложения (служебная функция), союзное слово входит в состав придаточного предложения в качестве одного из его членов, ср. англ. It was late when he came (союз) ‘Было поздно, когда он пришёл’ — I don’t know when he came (союзное слово, обстоятельство времени) ‘Я не знаю, когда он пришёл’. В большинстве случаев союзное слово и союз различаются формально. При совпадении (омонимии) в некоторых языках возможна дифференциация их по признаку наличия​/​отсутствия ударения, ср. «Что́ он читает, не вижу» — «Я вижу, что он читает». Союз и союзное слово в совокупности образуют союзные синтаксические средства связи, противопоставленные в языке бессоюзным (см. Бессоюзие)."
1083,способ действия,"См. Аспектология, Глагол."
1084,спряжение," глагольное формообразование, охватывающее всю парадигму глагола, всю совокупность его форм в пределах одной глагольной лексемы, и выражающее соответствующие грамматические категории. Границы спряжения одного глагола зависят от того, как определяются границы глагольной лексемы. Так, в русском языке изменение по категории вида традиционно не включают в состав спряжения одного глагола, а рассматривают как образование производного глагола со своим отдельным спряжением; часто не относят к спряжению и образование причастий и деепричастий. Аналитические формы в составе спряжения иногда обозначают термином перифрастическое спряжение. В большинстве языков не все глаголы спрягаются одинаковым образом. Поэтому, наряду с общим понятием спряжения, выделяют отдельные спряжения (т. е. его типы, или модели) для отдельных групп глаголов. В некоторых случаях между такими типами наблюдается чёткое семантическое противопоставление, в других же — лишь традиционная закреплённость отдельных типа за определённым кругом глагольной лексики."
1085,сравнительно-исторический метод," важнейший инструмент познания истории языков. С помощью С.‑и. м. прослеживается диахроническая эволюция генетически близких языков на основе доказательства общности их происхождения. Основной целью С.‑и. м. является воссоздание модели праязыковых состояний (см. Праязык) отдельных семей и групп родственных языков мира, их последующего развития и членения на самостоятельные языки, а также построение сравнительно-исторических описаний (грамматик и словарей) языков, входящих в ту или иную генетическую общность. К числу главных приёмов относятся: определение генетической принадлежности языковых данных, установление системы соответствий и аномалий на разных уровнях в сравниваемых языках, моделирование исходных праязыковых форм (архетипов), хронологическая и пространственная локализация языковых явлений и состояний и предпринимаемая на этой основе генеалогическая классификация языков. Сравнение как универсальный приём лингвистического исследования в С.‑и. м. является доминирующим. Конкретные приёмы и процедуры базируются на системном анализе, поскольку сравнению подлежат не частные явления, а языковые системы. Наиболее существенным является принцип ретрогностики, т. е. накопление знаний о предшествующих этапах исторического развития языков. Важнейшей процедурой С.‑и. м. служит реконструкция первоначальных и промежуточных языковых состояний, осуществляемая посредством установления соответствий на всех уровнях языка. Наибольшую эффективность в установлении закономерностей исторического развития родственных языковых систем С.‑и. м. обнаруживает на фонетико-фонологическом и морфологическом уровнях. Направление исследований при этом может быть как ретроспективным, т. е. идти от исторически засвидетельствованного состояния к первоначальному, так и проспективным — от первоначального состояния к более позднему. Большую роль играет при этом выбор основы для сравнения. Как правило, это язык с древнейшей письменной традицией. В индоевропеистике такую роль долго играл санскрит, который в ряде современных исследований сменён хетто-лувийскими языками. Современная сравнительно-историческая методика лингвистических исследований широко использует и приёмы других методов — типологического, квантитативного, вероятностного, филологического и метода моделирования. Лингвогеографические, или ареальные, приёмы исторического изучения языков являются составной частью С.‑и. м. Они подчинены задачам воссоздания картины диалектного членения праязыковых общностей и выявлению ареальных связей между языками, составляющими эти общности. В тех же языковых группах или семьях, где отсутствуют старописьменные памятники, С.‑и. м. опирается на данные современных языков и диалектов. См. также Метод в языкознании."
1086,сравнительно-историческое языкознание, сравнительно-исторические грамматики (включающие в себя прежде всего фонетику) и этимологические словари (лексика).
1087,средиземноморские языки,"Условное обозначение древних неиндоевропейских языков Южной Европы и островов Средиземного моря, генетическая принадлежность которых остаётся невыясненной. Представлены надписями, глоссами, субстратными словами, ономастикой. Единственным живым представителем С. я. считается баскский язык."
1088,среднеперсидский язык," мёртвый среднеиранский язык юго-западной группы (см. Иранские языки). Является продолжением (отличия носят диалектный характер) древнеперсидского языка и предшественником новоперсидского. Первоначальный ареал распространения — южная часть Ирана — Парса (Фарс), затем территория государства Сасанидов, где он был официальный языком (3—7 вв.). После завоевания Ирана арабами (7 в.) сохранялся в зороастрийских общинах Ирана и у парсов Индии."
1089,стадиальности теория," изолирующие, агглютинирующие и флективные — представляют собой три последовательные ступени развития языка, причём наиболее совершенным является флективный тип, после чего начинается период разложения (упадка). Идеи Шлейхера не получили широкого развития в сравнительно-историческом языкознании; принцип стадиальности лежал в основе теории развития языка Ф. Мюллера, соединившего этот принцип с теорией корня Ф. Боппа (см. Агглютинации теория), и О. Есперсена. В 1‑й трети 20 в. С. т. возрождается в модифицированном виде в рамках «Нового учения о языке» Н. Я. Марра, став ядром его концепции единого глоттогонического процесса. Понятие стадии, осмысляемое типологически (аморфная, агглютинативная, флективная), было прямо соотнесено с социально-экономическими формами развития человечества и формами мировоззрения. Развитие языка трактовалось как универсальный процесс «перерождения» одной стадии в другую, индоевропейские языки (называемые прометеидскими) рассматривались как последующий этап развития яфетических языков (в первую очередь кавказских), а звуковая речь в целом считалась выросшей из стадии дозвуковой кинетической (ручной) речи. Реконструкцию стадий единого глоттогонического процесса предлагалось осуществлять с помощью метода палеонтологического четырёхэлементного анализа, основанного на бездоказательном сближении и препарировании значений и форм слов различных языков. Вульгарно-материалистический характер С. т. Марра противоречил марксистскому пониманию языка и его развития."
1090,старославянский язык,"11 вв., продолжавших традицию переведённых с греческого языка Кириллом (Константином-Философом) и Мефодием в 9 в. богослужебных и канонических книг, язык которых также принято называть С. я. В основу С. я., древнейшего славянского литературного языка, лёг южнославянский солунский диалект. С самого возникновения С. я. носил характер славянского международного языка, употреблявшегося в среде западных славян (чешские, моравские, словацкие и отчасти польские земли), затем славян южных и несколько позже (с 10 в.) славян восточных. Памятники С. я. писаны двумя азбуками: глаголицей и кириллицей. Большинство учёных предполагает, что глаголица древнее кириллицы и что именно она была изобретена одним из создателей славянской письменности Кириллом. Своеобразие глаголического письма, не позволяющее уверенно связать его ни с одним из известных в то время алфавитов, в т. ч. и с греческим минускульным письмом, подтверждает это предположение. Кириллица довольно чётко воспроизводит манеру греческого уставного письма 9 в. Дошедшие до нас старославянские памятники отражают локальные типы древнейшего славянского литературного языка 10—11 вв.: «Киевские листки», или «Киевский миссал» (10 в.) — моравский тип; Зографское, Мариинское, Ассеманиево евангелия, «Сборник Клоца» и «Синайская псалтырь» (11 в.) — охридский (западномакедонский) тип; Саввина книга, Супрасльская рукопись, Енинский апостол — преславский (восточноболгарский) тип. Общее число старославянских книжных памятников невелико — 16 (включая мелкие). Ценным дополнением к пергаменному корпусу памятников являются надписи на камне (древнейшая — Добруджанская надпись 943)."
1091,статистический метод,См. Количественные методы в языкознании.
1092,статус," состояние, положение) (состояние) — особая категория имени в афразийских языках, выражающая различные содержательные связи имени в высказывании и представляющая собой именное словоизменение, определяемое синтаксической функцией имени в предложении. Представлена в семитских, берберо-ливийских и кушитских языках, видимо, также в древнеегипетском языке (где ситуация во многом неясна из-за особенностей графики), следы этой системы наблюдаются и в чадских языках. Число и характер статусов варьируют в разных языках. Из семитских языков наиболее богатая система представлена в аккадском языке, где различаются: склоняемое состояние (status rectus), сопряжённое состояние (status constructus), предместоименное состояние (status pronominalis), неопределённое состояние (status indeterminatus), в пределах которого различают два состояния — предикативное (status praedicativus) и абсолютное (status absolutus). С утратой внешней флексии система статуса упрощается. Так, в древнееврейском языке три статуса: st. absolutus, st. constructus, st. pronominalis; в арабском языке лишь два: st. rectus и st. constructus, хотя в арабских грамматиках обычно выделяются определённое и неопределённое состояния (в рамках st. rectus)."
1093,степени сравнения," положительная и элатив, совмещающий значения сравнительной и превосходной степеней). Сравнительная степень указывает на наличие у объекта какого-либо качества в большей степени, чем у другого, превосходная — больше, чем у всех прочих объектов. Положительная степень обозначает качество безотносительно к степени. С. с. имеются преимущественно у прилагательных и наречий («умный» — «умней» — «умнейший»; «умно» — «умнее»), но в некоторых языках также у существительных и глаголов, осмысляемых как означающие качество (например, коми «кужӧджык» ‘более умеет’ при «кужӧ» ‘умеет’). С. с. выражаются аффиксами («умней») или аналитически («более умный»)."
1094,стилизация,"Намеренное построение художественного повествования в соответствии с принципами организации языкового материала и характерными внешними речевыми приметами, присущими определённой социальной среде, исторической эпохе, литературному направлению, жанру, индивидуальной манере писателя, которые избираются автором как объект имитации."
