,term,definition
522,defective illocutionary act,"A defective illocutionary act is an illocutionary act, whether successful or unsuccessful, in which one or more of the preparatory or sincerity conditions for the act are not met."
523,deontic modality,"Deontic modality is modality that connotes the speaker's  degree of requirement of desire for, or commitment to the realization of  the proposition expressed by the utterance."
524,direct object,"A direct object is a grammatical relation that exhibits a combination of certain independent syntactic properties, such as the following:  The usual grammatical characteristics of the patient of typically transitive verbs A particular case marking A particular clause position The conditioning of an agreement affix on the verb The capability of becoming the clause subject in passivization The capability of reflexivization  The identification of the direct object relation may be further confirmed by finding significant overlap with similar direct object relations previously established in other languages. This may be done by analyzing correspondence between translation equivalents."
525,distributive numeral,A distributive numeral is a numeral which expresses a group of the number specified.
526,defective verb,A defective verb is a verb which does not exhibit all the forms typical of a regular verbal conjugation.
527,dependent of a phrase,The dependent of a phrase is any element in a phrase that does not refer to the same entity that the whole phrase refers to.
528,direct speech,"Direct speech is quoted speech that is presented without modification, as it might have been uttered by the original speaker."
529,ditransitivity,Ditransitivity is a term which describes a verb or clause which takes two objects.
530,definite concessive relation,A definite concessive relation is a concession relation in which the clause expressing the concession is marked by a concessive subordinator that expresses the meaning “in spite of the fact that.”
531,derivation,Derivation is the formation of a new word or inflectable stem from another word or stem. It typically occurs by the addition of an affix. The derived word is often of a different word class from the original. It may thus take the inflectional affixes of the new word class.
532,directive illocutionary point,A directive illocutionary point is an illocutionary point in which the speaker attempts to get someone to bring about the state of affairs described by the propositional content of the utterance.
533,diversion schema,A diversion schema is a force schema that involves forces that physically or metaphorically meet and produce a change of direction.
534,definite identifiability,"Definite identifiability is a kind of definiteness which indicates that an expression’s referent(s) is in some way identifiable to both speaker and addressee. The referent is identifiable because of a shared knowledge or situation, including a previous mention of the referent."
535,derivational affix,A derivational affix is an affix by means of which one word is formed (derived) from another. The derived word is often of a different word class from the original.
536,directive modality,Directive modality is a deontic modality that connotes the speaker’s degree of requirement of conformity to the proposition expressed by an utterance.
537,double stop,A double stop consists of simultaneous labial and velar articulation.
538,definiteness,Definiteness is a category concerned with the grammaticalization of identifiability and nonidentifiability of referents on the part of a speaker or addressee.
539,derivative,"A derivative is a stem that is formed by combining a root with an affix that adds a component of meaning that is more than just inflectional. The meaning of a derivative is determined by its context, not its parts."
540,discontinuous constituents,"Discontinuous constituents are constituents which are  separated from each other by one or more intervening constituent, and considered either 	 syntactically contiguous and unitary, or realizing the same, single meaning."
541,downgrade,A downgrade is a move that weakens or mitigates a previous utterance in order to make it more acceptable.
542,definition,A definition is a thorough description of the meaning of a lexical unit. Here are the parts of a definition:  Synthetic component consisting of the following:  Analytic definition Supplemental information   Translation equivalents (in bilingual definitions) or near synonyms (in monolingual definitions)
543,description relation,A description relation is an elaboration relation in which a proposition(s) provides the “contents” of an act of perception or cognition expressed by another proposition.
544,discontinuous morpheme,A discontinuous morpheme is a morpheme that is interrupted by the insertion of another morphological unit.
545,dual number,Dual number is number which refers to two members of the class identified by the noun.
546,deictic center,A deictic center is a reference point in relation to which a deictic expression is to be interpreted.
547,descriptive text,A descriptive text is a text which lists the characteristics of something.      Features       The topic is usually about the attributes of a thing. Third person pronoun forms are used.
548,discourse,"A discourse is an instance of language use whose type can be classified on the basis of such factors as grammatical and lexical choices and their distribution in  main versus supportive materials theme style, and the framework of knowledge and expectations within which the addressee interprets the discourse."
549,dubitative mood,Dubitative mood is an epistemic mood which signals a speaker’s reservation about the accuracy of his or her statement.
550,deictic expression,"A deictic expression is an expression that has a deictic usage as its basic usage, though it may also have nondeictic usages."
551,determiner,"A determiner is a word or affix that belongs to a class of noun modifiers that expresses the reference, including quantity, of a noun."
552,discourse deixis,Discourse deixis is deictic reference to a portion of a discourse relative to the speaker's current “location” in the discourse.
553,dummy word,"A dummy word is a grammatical unit that has no meaning, but completes a sentence to make it grammatical."
554,echo question,"An echo question is a question that  occurs in the turn after a repairable utterance, and repeats the portion felt by the speaker to need repair."
555,enablement schema,An enablement schema is a force schema that involves having:  the physical or metaphorical power to perform some act a potential force and the absence of blockage or counterforce
556,etymology,Etymology is the study of the origins and history of the form and meaning of words.
557,existential marker,"An existential marker is a word, found in a distinct clause type, which marks a referent's existence."
558,elaboration relation,An elaboration relation is an interpropositional relation in which a proposition(s) provides detail relating to some aspect of another proposition.
559,enclitic,An enclitic is a clitic that is phonologically joined at the end of a preceding word to form a single unit.
560,euphemism,A euphemism is a metaphorical or metonymic use of an expression in place of another expression that is disagreeable or offensive.
561,exocentric construction,An exocentric construction is a construction that does not contain any head element that is capable of being a syntactically adequate substitution for the whole construction.
562,elative case,Elative case is a case expressing motion out of or away from the referent of the noun it marks.
563,end-of-path schema,An end-of-path schema is an image schema in which a location is understood as the termination of a prescribed path.
564,evaluation information,Evaluation information is a movable non-event within a discourse that consists of a speaker's feeling toward an event or a state of affairs. It may have broad scope (such as toward a series of events) or narrow scope (such as toward a participant).
565,exophora,Exophora is reference of an expression directly to an extralinguistic referent. The referent does not require another expression for its interpretation.
566,elementary illocutionary act,An elementary illocutionary act is an illocutionary act that:  does not have a negated illocutionary force is not performed conditionally is not conjoined to another illocutionary act
567,endocentric construction,"An endocentric construction is a construction that contains:  a head, which is the single obligatory element in the construction (except in coordinate constructions, which have multiple heads) one or more optional elements subordinate to the head  The optional elements can, in the proper context, be omitted without loss of grammaticality. The head is a syntactically adequate substitution for the whole construction."
568,evaluation relation,An evaluation relation is an interpropositional relation in which a proposition(s) expresses the speaker’s value judgment regarding the factuality or desirability of another proposition(s).
569,experiencer as a semantic role,"Experiencer is the semantic role of an entity (or referent) which  receives accepts experiences, or undergoes the effect of an action."
570,elicitation,Elicitation is the act of obtaining language data from another person.
571,endophora,Endophora is coreference of an expression with another expression either before it or after it. One expression provides the information necessary to interpret the other.
572,event,"An event is a kind of information in discourse that:  actually occurs, is overt  occurs at the now point on the time line"
573,experiential perfect aspect,"Experiential perfect aspect is a grammaticalization of the current relevance, at the moment of utterance, of an event or state that occurred prior to the moment of utterance. The event or state is expressed as an experience which happened at least once, without respect to a particular location in time, and which is repeatable."
574,elicitation frame,An elicitation frame is a fixed environment that is used for discovering or testing particular words.
575,entity metaphor,An entity metaphor is an ontological metaphor in which an abstraction is represented as a concrete physical object.
576,evidence relation,An evidence relation is a logical relation in which a proposition(s) are intended to increase the addressee's assurance of another proposition(s).
577,exposed repair,Exposed repair is an other-initiated repair that is not handled covertly as an embedded repair.
578,elision,"Elision is the omission of sounds, syllables, or words in spoken or written discourse."
579,environment,An environment is all the parts of an utterance that directly surround a given sound.
580,evidentiality,"By Teija Greed, March 2022  Evidentiality is a linguistic category whose primary meaning is information source. In a number of languages evidential meanings are expressed through grammatical means: the speaker conveys the source of knowledge for his or her statement with special evidential markers. Some languages, for example, Tariana spoken in Amazonia, has obligatory marking of information source: with verb affixes the speaker indicates the source of his or her knowledge. Evidentiality is distinct from (epistemic) modality which concerns the speaker’s evaluation of his or her statement, for example, with regard to its certainty. In the area of grammatical evidentiality, to decribe evidential meanings, semantic parameters, such as visual, sensory, inference, assumption, reported and quotative (Aikhenvald 2014 (2016): 9), are commonly used. Evidentiality is also studied in the context of the French médiativité (Guentchéva 1996; Guentchéva & Laudabury 2007), and especially in Turkic languages under the term indirectivity (Johanson & Utas 2000)."
581,expository discourse,"Expository discourse is a discourse that explains or describes a topic. It does not primarily present contingent events or focus on a performer of actions, but rather tends to present the following kinds of propositions:  Existential Stative Equative       Features       Information is logically oriented around a theme. Third person pronoun forms are used. Texts are not oriented around a specific agent.         Parts       Problem Solution Supporting argumentation Evaluation of the solution"
582,elliptical construction,An elliptical construction is a construction that lacks an element that is recoverable or inferable from the context.
583,epistemic modality,Epistemic modality is a modality that connotes how much certainty or evidence a speaker has for the proposition expressed by his or her utterance.
584,evoked entity,An evoked entity is a referent which is given information due:  to previous mention in the text to the prominence of the referent in the extralinguistic context
585,expository text,Expository text is a text which explains something.
586,embedded repair,An embedded repair is an other-initiated repair that is performed by the addressee of the questioned utterance by the substitution of the repairing item in the addressee’s own utterance.
587,epistemic qualification,An epistemic qualification is a signal of the degree of certainty the speaker has for the proposition expressed by his or her utterance.
588,exclamation,"Here are two senses for exclamation:  An exclamation, broadly defined, is any utterance made with strong emotion. An exclamation, narrowly defined, is a sentence type that is used to express a strong emotional state. It contrasts in syntax or morphology with other sentence types which typically express statements, commands, and questions."
589,expressive illocutionary point,An expressive illocutionary point is an illocutionary point which communicates an attitude or emotion about the state of affairs described in the propositional content of the utterance.
590,empathetic deixis,Empathetic deixis is the metaphorical use of deictic forms to indicate emotional or other psychological “distance” or “proximity” between a speaker and a referent.
591,equative case,"Equative case is a case that expresses likeness or identity to the referent of the noun it marks. It can have meaning, such as:  as like in the capacity of"
592,exclamative,An exclamative is a word or phrase which marks an exclamation.
593,extendedness,Extendedness is a type of place deixis in which the presence or absence of a component of meaning indicates that a location has length or area.
594,emphasis marker,An emphasis marker is a word or affix that expresses a speaker's stress upon the predicate of a sentence.
595,equative clause,"An equative clause is a clause which describes a feature of its subject. It contains a subject complement and, typically, a copula."
596,exclusive alternative relation,An exclusive alternative relation is an alternative relation in which only one of the propositions or groups of propositions can be true or fulfilled.
597,extension,Extension is place deixis that indicates that a location has length or area.
598,emphatic additive relation,An emphatic additive relation is an additive relation in which the cumulative nature of the propositions in the relation is emphasized.
599,equilibrium schema,An equilibrium schema is a balance schema that involves physical or metaphorical external and internal pressure on container-like objects.
600,exclusive first person deixis,Exclusive first person deixis is deixis that refers to a group not including the addressee(s).
601,external relation,"An external relation is an interpropositional relation which relates the situations described in the propositions by experiential, extralinguistic reality as opposed to relating them by the solely communicative usage of propositions."
602,emphatic alternative relation,An emphatic alternative relation is an alternative relation in which the existence of different possibilities is stressed.
603,equivalent,An equivalent is a term of social deixis that expresses equality of status.
604,exemplification relation,An exemplification relation is a specification relation in which a specification is achieved by providing an instance.
605,external relative clause,An external relative clause is a relative clause whose head noun phrase is outside the relative clause.
606,emphatic pronoun,An emphatic pronoun is a personal pronoun that is used to emphasize its referent.
607,ergative case,Ergative case is the case of nouns in ergative-absolutive languages that would generally be the subjects of transitive verbs in the translation equivalents of nominative-accusative languages such as English.
608,existential clause,"An existential clause is a clause, having a distinctive grammatical structure, which expresses the real or imagined existence of an entity."
609,extraposition,Extrapostion is the process or result of moving an element from its normal place to a place at the end or near to the end of a sentence.
610,enablement relation,An enablement relation is an interpropositional relation in which a proposition(s) supports a speaker's directive by improving the addressee’s ability to fulfill it or take advantage of it.
611,essive case,Essive case is a case that expresses the temporary state of the referent specified by a noun. The case has the meaning of:  while in the capacity of
612,factitive as a semantic role,Factitive is the semantic role of an referent that results from the action or state identified by a verb.
613,finite verb,"A finite verb is a verb form that  occurs in an independent clause, and is fully inflected according to the inflectional categories marked on verbs in the language."
614,force as a semantic role,"Force is the semantic role of an entity that instigates an action, but not consciously or voluntarily."
615,free variation,"Free variation is the interchangeable relationship between two phones, in which the phones may substitute for one another in the same environment without causing a change in meaning."
616,failure of fit,"Failure of fit is a lack of correspondence between the state of affairs  described by the propositional content of an illocutionary act, and in the world."
617,first part,A first part is the first utterance in an adjacency pair.
618,force schema,A force schema is an image schema that involves physical or metaphorical causal interaction. It includes the following elements:  A source and target of the force A direction and intensity of the force A path of motion of the source and/or target A sequence of causation
619,function word,"A function word is a word which have no lexical meaning, and whose sole function is to express grammatical relationships.        Also known as:  grammatical word, empty word, functor"
620,familiarity,Familiarity is a kind of social deixis that expresses a high degree of solidarity between the speaker and addressee.
621,first person deixis,"First person deixis is deictic reference that refers to  the speaker, or both the speaker and referents grouped with the speaker."
622,formal language,"Formal language is language use characterized by:  speech before a passive audience the assumption of a role by the speaker the use of artificial means of communication such as writing or electronics, and the use of a “high” dialect or language in preference to a “low” one."
623,fusional language,A fusional language is a language in which one form of a morpheme can simultaneously encode several meanings.
624,feminine gender,"Feminine gender is a grammatical gender that  marks nouns that have human or animal female referents, and often marks nouns that have referents that do not carry distinctions of sex."
625,fit,"Fit is a correspondence, or lack of correspondence, between the state of affairs described by the propositional content of an illocutionary act and the state of affairs in the world."
626,formality,Formality is a kind of social deixis that expresses the setting or social activity in which language use takes place.
627,future perfect tense,Future perfect tense is an absolute-relative tense that refers to a time located before a contextually determined temporal reference point that must be located in the future relative to the moment of utterance.
628,field distinction,A field distinction is a type of place deixis that expresses an opposition between locations in visual range and those not in visual range.
629,fixed collocation,"A fixed collocation is a phrase or construction  which is decompositional, and whose constituents recurrently combine with each other.       Features       Constituents repeatedly co-occur with each other. Constituents are bound specifically to each other. Constituents do not co-occur with other lexical units freely. Only a few, if any, words may be substituted for the co-occurring lexical units. Correct usage is not predictable on the basis of the known function or meaning of the co-occurring lexical units."
630,fortis consonant,"A fortis consonant is a “strong” consonant produced by increased tension in the vocal apparatus. These strong consonants tend to be long, voiceless, aspirated, and high."
631,future tense,Future tense is an absolute tense that refers to a time after the moment of utterance.
632,field notebook,A field notebook is a permanent record of your language data.      Features       Sturdy and bound Readily available as part of the regular stock in a local bookstore
633,fixed lexical collocation,A fixed lexical collocation is a collocation of two or more co-occurring lexemes in an unchanging syntactic and semantic relationship.
634,fossilized term,A fossilized term is a word or root that occurs only as an archaic expression.
635,future-in-future tense,"Future-in-future tense is an absolute-relative tense that refers to a time located in the future, relative to a temporal reference point that itself is located in the future relative to the moment of utterance."
636,figurative sense,"A figurative sense is a meaning that is derived from a primary sense by analogy (for example, personification), association (for example, metonymy), or similarity (for example, metaphor and simile)."
637,flouting implicature,A flouting implicature is a conversational implicature based on an addressee's assumption that the speaker is deliberately breaking (flouting) a conversational maxim while still being cooperative.
638,free morpheme,"A free morpheme is a grammatical unit that can occur by itself. However, other morphemes such as affixes can be attached to it."
639,future-in-past tense,"Future-in-past tense is an absolute-relative tense that refers to a time located in the future, relative to a contextually determined temporal reference point that itself must be located in the past relative to the moment of utterance."
640,final clause,A final clause is the last clause in a clause chain. It is distinguished from medial clauses by a difference in verb morphology.
641,focus,"Focus is a term that refers to information, in a sentence, that  is new is of high communicative interest is marked by stress typically occurs late in the sentence, and complements the presupposed information typically presented early in the sentence."
642,free translation,A free translation is a translation that reproduces the general meaning of the original text. It may or may not closely follow the form or organization of the original.
643,future-perfect-in-past tense,"Future-perfect-in-past tense is an absolute-relative tense that involves three points in time in the past. The tense refers to a time that is in the future, relative to another point in the past, but is in the past relative to a point in its future. All these points in time are in the past relative to the moment of utterance."
644,finite clause,A finite clause is a clause with a finite verb.
645,gap,"A gap is conversational silence at the end of a turn in a situation in which:  no next speaker has been selected by the previous one no participant has selected himself or herself as the next speaker, and the silence is too short to constitute a lapse."
646,genitive case,Genitive case is a case in which the referent of the marked noun is the possessor of the referent of another noun.
647,gloss,"A gloss is a summary of the meaning of a morpheme or word, suitable for use in interlinear text displays."
648,grammatical gender,"Grammatical gender is a noun class system, composed of two or three classes, whose nouns that have human male and female referents tend to be in separate classes. Other nouns that are classified in the same way in the language may not be classed by any correlation with natural sex distinctions."
649,generalized implicature,A generalized implicature is a conversational implicature that is inferable without reference to a special context.
650,genre,"Genre is a category used to classify discourse and literary works, usually by form, technique, or content."
651,glottal stop,"A glottal stop is a speech sound articulated by a momentary, complete closing of the glottis in the back of the throat. Glottal stops occur in many languages and usually pattern as consonants."
652,grammatical relation,A grammatical relation is a role of a noun phrase or complement clause that determines syntactic behaviors such as the following:  Word position in a clause Verb agreement Participation and behavior in such operations as passivization
653,generative phonology,Generative phonology is a component of generative grammar that assigns the correct phonetic representations to utterances in such a way as to reflect a native speaker’s internalized grammar.
654,gestural usage,Gestural usage is the use of a deictic expression in such a way that a physical monitoring of the speech situation is necessary for interpretation of the expression.
655,glottis,The glottis is the space between the vocal folds.
656,grammatical tone,"Grammatical tone is the distinctive pitch level which marks contrasts in grammatical features such as tense, aspect, and case."
657,generic term,A generic term is a noun or noun phrase that refers to:  a whole class any member of a class as a representative of its class
658,given information,"Given information is information that is assumed by the speaker to be known to, assumed by, or inferable by the addressee at the time of the speaker's utterance, because it is:  common knowledge part of the extralinguistic context previously established in the discourse"
659,goal as a semantic role,Goal is the semantic role of the:  place to which something moves thing toward which an action is directed
660,grounding,"Grounding refers to establishing the time, location or actuality of a situation according to some reference point."
661,generic-specific lexical relation,"A generic-specific lexical relation is a hierarchical association between a lexical unit with a broader, more general meaning and other lexical units with a narrower, more precise meaning."
662,given versus new information,Given versus new information is a distinction between information that is assumed or supplied by the speaker and that which is presented for the first time.
663,grammatical category,A grammatical category is a set of syntactic features that:  express meanings from the same conceptual domain occur in contrast to each other are typically expressed in the same fashion
664,habitual aspect,Habitual aspect is an imperfective aspect that expresses the occurrence of an event or state as characteristic of a period of time.
665,hesternal past tense,"Hesternal past tense is a past tense that refers to a time that is located somewhere in the span beginning with the period defined culturally as ""yesterday"" and extends back through some period that is considered nonremote."
666,homophone,"A homophone is a  group of two or more letters representing the same speech sound, or homonym (sense 1)."
667,hortatory text,Hortatory text is a text which represents an attempt on the part of the speaker to get the addressee to do something or to act in a certain way.
668,head,"A head is a constituent of an endocentric construction that, if standing alone, could perform the syntactic function of the whole construction. It may govern the:  agreement of grammatical categories, such as person and number, or occurrence of other constituents."
669,hierarchical lexical relation,A hierarchical lexical relation is an association between lexical units that have a system of arrangement into levels of increasing:  size  complexity  A hierarchical set has the structure of a scale.
670,homophora,"Homophora is reference that depends on cultural knowledge or other general knowledge, rather than on specific features of a particular context."
671,host,A host is the preceding or following word to which a clitic is phonologically joined.
672,head of a phrase,The head of a phrase is the element that determines the syntactic function of the whole phrase.
673,hodiernal future tense,"Hodiernal future tense is a future tense that refers to a time that is located after the moment of utterance within the span culturally defined as ""today."""
674,honorific,"An honorific is a grammatical form, typically a word or affix, that is socially deictic It expresses, as at least part of its meaning, the relative social status of the speaker with .  the addressee a bystander, or some other referent."
675,human class,A human class is a noun class that has human referents.
676,headword,"A headword is the form which introduces an entry in a printed dictionary. It is the form by which a dictionary is sorted. Depending upon the language, the headword for an entry may be the:  base form citation form"
677,hodiernal past tense,"Hodiernal past tense is a past tense that refers to a time as located before the moment of utterance within the span culturally defined as ""today."""
678,horizontal deixis,"Horizontal deixis is a type of place deixis that has no component of meaning indicating location upward or downward, in a system of place deictic expressions that make such distinctions of verticality."
679,hyperbole,Hyperbole is deliberate exaggeration for emotional effect. The addressee is not expected to have a literal understanding of the expression.
680,hedged performative,"A hedged performative is an indirect illocution whose illocutionary force is expressed directly by a performative verb but is given an additional illocutionary force by some device, such as modalization or subordination."
681,homograph,"A homograph is word that has the same spelling as another. Homographs differ from each other in:  meaning origin, and sometimes pronunciation."
682,hortatory discourse,Hortatory discourse is a discourse that is an attempt to persuade the addressee to fulfill commands that are given in the discourse.
683,hypothetical mood,"Hypothetical mood is an epistemic mood that signals that the speaker evaluates a proposition as counterfactual, but otherwise possible."
684,hesitation pause,A hesitation pause is conversational silence that occurs within a turn.
685,homonym,"Here are three senses of homonym.  A word that has the same pronunciation as another. Homonyms differ from each other in:​  meaning origin usually spelling   Loosely, a homograph Either of two people with the same name"
686,identity of illocutionary forces,"Identity of illocutionary forces is a relationship between two illocutionary forces such that when they are employed with the same propositional content, they have the same conditions for nondefective performance. The two forces thus serve the same purpose and have the same components of illocutionary force."
687,immediate imperative mood,Immediate imperative mood is an imperative mood that signals that the command or request is to be carried out right away.
688,indirect object,"An indirect object is a grammatical relation that is one means of expressing the semantic role of goal and other similar roles. It is proposed for languages in which the role is distinct from the direct object and the oblique object on the basis of multiple independent syntactic or morphological criteria, such as the following:  Having a particular case marking, commonly dative Governing an agreement affix on the verb, such as person or number Being distinct from oblique relations in that it may be relativized"
689,instrumental case,Instrumental case is a case indicating that the referent of the noun it marks is the means of the accomplishment of the action expressed by the clause.
690,ideophone,"An ideophone is a member of a set of words that  are phonologically distinguishable from other words in a language are often onomatopoeic, and form one or more syntactic classes or subclasses, most typically adverbial."
691,immediate past tense,Immediate past tense is past tense that refers to a time considered very recent in relation to the moment of utterance.
692,indirect speech,"Indirect speech is reported speech that is presented with grammatical modifications, rather than as it might have been uttered by the original speaker."
693,intended perlocutionary effect,An intended perlocutionary effect is what a speaker intends an utterance to achieve in an addressee
694,idiom,"An idiom is a multiword construction that  is a semantic unit whose meaning cannot be deduced from the meanings of its constituents, and has a non-productive syntactic structure."
695,imperative mood,"Imperative mood is mood that signals directive modality, especially in commands. Its use may be extended to signal permission."
696,individual-group lexical relation,An individual-group lexical relation is an association between two lexical units in which one lexical unit is a collective term of the other.
697,intensifier,An intensifier heightens or lowers the intensity of meaning of an item.
698,illative case,Illative case is a case that expresses motion into or direction toward the referent of the noun it marks.
699,imperfective aspect,"Imperfective aspect is an aspect that expresses an event or state, with respect to its internal structure, instead of expressing it as a simple whole."
700,inessive case,Inessive case is a case that expresses a location within the referent of the noun it marks.
701,interjection,"An interjection is a form, typically brief, such as one syllable or word, which is used most often as an exclamation or part of an exclamation. An interjection:  typically expresses an emotional reaction, often with respect to an accompanying sentence is not syntactically related to other accompanying expressions may include a combination of sounds not otherwise found in the language"
702,illocutionary act,"An illocutionary act is a complete speech act, made in a typical utterance, that consists of  the delivery of the propositional content of the utterance (including references and a predicate), and a particular illocutionary force, whereby the speaker 	 asserts suggests demands promises, or vows."
703,impermissible mixed metaphors,Impermissible mixed metaphors are metaphors that conflict because they serve different purposes.
704,inferable entity,An inferable entity is a referent that may be inferred by the addressee from other information that has already been given.
705,internal relation,An internal relation is an interpropositional relation that relates the situations described in the propositions by their communicative usage as opposed to relating the situations described by the propositions.
706,illocutionary conditional,"An illocutionary conditional is a complex illocutionary act that consists of  an illocutionary act, and a stated condition for the performance of that act."
707,impersonal verb,"An impersonal verb is a verb that  occurs only in third person singular forms has no specified agent, and has a dummy subject or no subject."
708,inferior status,Inferior status is social deixis that encodes a low degree of status.
709,internal relative clause,An internal relative clause is a relative clause whose head noun phrase occurs within the relative clause itself.
710,illocutionary connective,An illocutionary connective is a connective that is used to join two or more illocutionary acts in one utterance.
711,implicational scale,"An implicational scale is a set of lexical items that are  of the same constituent category, and ordered in terms of their informativeness.  Any sentence including one item of the set entails all of the propositions expressed by similar sentences containing less informative items. In addition, in keeping with the quantity maxim, the use of an item in the scale creates scalar implicatures that disallow the propositions expressed by similar sentences that contain more informative items."
712,infield distinction,An infield distinction is a distinction in place deixis that indicates that a location is in visual range.
713,interpretation relation,"An interpretation relation is an interpropositional relation in which some proposition(s) relate the content of some other proposition(s) to a different framework of ideas, a framework other than the speaker's value judgments."
714,illocutionary consistency,"Illocutionary consistency is a property of a set of illocutionary acts such that it is possible, in at least one context of utterance, for the speaker to be committed to all the acts simultaneously."
715,implicature,An implicature is anything that is inferred from an utterance but that is not a condition for the truth of the utterance.
716,infinitive,An infinitive is the base form of a verb. It is unmarked for inflectional categories such as the following:  Aspect Modality Number Person Tense
717,interpropositional relation,An interpropositional relation is an explicit or inferred coherence relation between propositions or groups of propositions that are typically expressed by clauses or larger portions of text. Interpropositional relations can account for the coherence between portions of text.
718,illocutionary denegation,An illocutionary denegation is an illocutionary act that is made complex by the negation of its illocutionary force. It expresses that the speaker is not performing a particular illocutionary act.
719,imprecative mood,Imprecative mood is a volitive mood that signals the speaker's wish that an unfavorable proposition will come about.
720,infix,An infix is an affix that is inserted within a root or stem.
721,interrogative mood,An interrogative mood is an epistemic mood that signals that the speaker wishes to elicit information concerning the content of his or her utterance from the addressee.
722,illocutionary force,"Illocutionary force is the combination of the  illocutionary point of an utterance, and particular presuppositions and attitudes that must accompany that point, including the 	 strength of the illocutionary point preparatory conditions propositional content conditions mode of achievement sincerity conditions, and strength of sincerity conditions."
723,inalienable noun,"An inalienable noun is a noun that  refers to something viewed as permanently and necessarily possessed, and is thus obligatorily expressed as possessed.  It may require a distinguishing possessive form."
724,infixation,Infixation is a morphological process whereby a bound morpheme attaches within a root or stem. The kind of affix involved in this process is called an infix.
725,interrogative pro-form,An interrogative pro-form is a pro-form that is used in questions to stand for the item questioned.
726,illocutionary force indicating device,An illocutionary force indicating device is any linguistic element that indicates or delimits the illocutionary force of an utterance.
727,inanimate class,An inanimate class is a category of nouns that do not have human or animal referents.
728,inflection,"Inflection is variation in the form of a word, typically by means of an affix, that expresses a grammatical contrast which is obligatory for the stem’s word class in some given grammatical context."
729,intimate social deixis,Intimate social deixis is deixis that expresses a very high degree of solidarity between the speaker and the addressee.
730,illocutionary inconsistency,"Illocutionary inconsistency is a property of a set of illocutionary acts such that it is not possible, in any context of utterance, for the speaker to be committed to all the acts simultaneously."
731,inchoative aspect,Inchoative aspect is an aspect that expresses the beginning of an event or state.
732,inflectional affix,"An inflectional affix is an affix that:  expresses a grammatical contrast that is obligatory for its stem's word class in some given grammatical context does not change the word class of its stem is typically located farther from its root than a derivational affix produces a predictable, nonidiosyncratic change of meaning."
733,intonation,Intonation is the system of levels (rising and falling) and variations in pitch sequences within speech.
734,illocutionary point,An illocutionary point is the basic purpose of a speaker in making an utterance. It is a component of illocutionary force.
735,inclusive alternative relation,An inclusive alternative relation is an alternative relation in which more than one of the propositions may be true or fulfilled.
736,inflectional category,An inflectional category is a class of affixes that share a common grammatical feature.
737,intransitivity,Intransitivity is a term that describes a verb or clause that is unable to take a direct object.
738,illocutionary verb,"An illocutionary verb is a verb that, as part of its meaning, expresses  at least one illocutionary force, or a quality of some component of illocutionary force."
739,inclusive first person deixis,Inclusive first person deixis is deixis that refers to a group including the addressee(s).
740,informal language,"Informal language is language use characterized by:  spontaneous speech in situations that may be described as natural or ""real-life,"" and the use of a ""low” dialect or language in preference to a “high” one."
741,irony,Irony is a trope in which an expression is used in such a fashion as to convey the opposite meaning of what is expressed.
742,illustrative sentence,An illustrative sentence is an example that clarifies the usage of a particular sense of a lexeme.
743,indefinite concessive relation,"An indefinite concessive relation is a concession relation in which the clause that expresses the concession contains a form, such as the following, that expresses a range:  An indefinite pro-form An expression with a meaning similar to “no matter”"
744,informativeness principle,"The informativeness principle is an implicature in which the addressee is licensed to apply his or her knowledge of the world to infer an implicature that is informationally stronger than the actual utterance. This principle, in addition to the cooperative principle and conversational maxims, enables the addressee to resolve apparent conflicts with the quantity maxim."
745,irrealis modality,Irrealis modality is a modality that connotes that the proposition with which it is associated is nonactual or nonfactual.
746,image schema,"An image schema is a mental pattern that  recurrently provides structured understanding of various experiences, and is available for use in metaphor as a source domain to provide an understanding of yet other experiences."
747,indefinite pronoun,An indefinite pronoun is a pronoun that belongs to a class whose members indicate indefinite reference.
748,initiative time latency,An initiative time latency is the time between the end of a participant's turn and the resumption of his or her speakership in the absence of a response from any other participant.
749,irregular verb,An irregular verb is a verb which does not conform to an expected inflectional pattern.
750,immediacy,Immediacy is a distinction in place deixis that indicates location at a distance intermediate between locations considered proximal and distal.
751,indefiniteness,"Indefiniteness is a kind of definiteness indicating that the referent(s) of an expression are not presumed to be identifiable. The referent is not identifiable because of a lack of shared knowledge or situation, including no previous mention of the referent."
752,insertion sequence,An insertion sequence is a sequence of turns that intervenes between the first and second parts of an adjacency pair.
753,isolating language,An isolating language is a language in which almost every word consists of a single morpheme.
